market_hash_name,date,median_price,volume,median_price_change_pct,volume_change_pct,median_price_7d_avg,volume_7d_avg
Fracture Case,2024-11-18 01:00:00+00:00,0.291,65420,-0.003424657534246589,-0.16433544101679765,0.295,81377.28571428571
Fracture Case,2024-11-19 01:00:00+00:00,0.294,68497,0.010309278350515427,0.047034546010394473,0.2928571428571428,82309.42857142857
Fracture Case,2024-11-20 01:00:00+00:00,0.286,113487,-0.027210884353741527,0.6568170868797174,0.2917142857142857,85317.57142857143
Fracture Case,2024-11-21 01:00:00+00:00,0.288,99378,0.006993006993007089,-0.12432260963810837,0.291,85640.85714285714
Fracture Case,2024-11-22 01:00:00+00:00,0.287,81751,-0.00347222222222221,-0.17737326168769751,0.2901428571428571,84969.85714285714
Fracture Case,2024-11-23 01:00:00+00:00,0.288,95204,0.0034843205574912606,0.16456067815684206,0.2894285714285714,86003.14285714286
Fracture Case,2024-11-24 01:00:00+00:00,0.292,93550,0.01388888888888884,-0.017373219612621282,0.2894285714285714,88183.85714285714
Fracture Case,2024-11-25 01:00:00+00:00,0.298,69131,0.020547945205479534,-0.2610261892036344,0.2904285714285714,88714.0
Fracture Case,2024-11-26 01:00:00+00:00,0.297,65560,-0.003355704697986628,-0.051655552501772006,0.2908571428571428,88294.42857142857
Fracture Case,2024-11-27 01:00:00+00:00,0.284,115723,-0.043771043771043794,0.7651464307504576,0.29057142857142854,88613.85714285714
Fracture Case,2024-11-28 01:00:00+00:00,0.276,169715,-0.028169014084506894,0.4665623946838571,0.2888571428571428,98662.0
Fracture Case,2024-11-29 01:00:00+00:00,0.284,123863,0.02898550724637672,-0.27017058009015116,0.2884285714285714,104678.0
Fracture Case,2024-11-30 01:00:00+00:00,0.283,100505,-0.0035211267605633756,-0.18857931747172274,0.2877142857142857,105435.28571428571
Fracture Case,2024-12-01 01:00:00+00:00,0.284,86672,0.0035335689045936647,-0.1376349435351475,0.28657142857142853,104452.71428571429
Fracture Case,2024-12-02 01:00:00+00:00,0.285,72351,0.0035211267605634866,-0.16523213956064242,0.2847142857142857,104912.71428571429
Fracture Case,2024-12-03 01:00:00+00:00,0.285,70664,0.0,-0.023316885737584836,0.283,105641.85714285714
Fracture Case,2024-12-04 01:00:00+00:00,0.279,108827,-0.021052631578947212,0.5400628325597192,0.2822857142857143,104656.71428571429
Fracture Case,2024-12-05 01:00:00+00:00,0.285,84417,0.02150537634408578,-0.22430095472630873,0.28357142857142853,92471.28571428571
Fracture Case,2024-12-06 01:00:00+00:00,0.287,83112,0.007017543859649145,-0.015458971534169641,0.284,86649.71428571429
Fracture Case,2024-12-07 01:00:00+00:00,0.289,80401,0.006968641114982521,-0.032618635094811776,0.2848571428571428,83777.71428571429
Fracture Case,2024-12-08 01:00:00+00:00,0.289,79949,0.0,-0.005621820624121643,0.2855714285714286,82817.28571428571
Fracture Case,2024-12-09 01:00:00+00:00,0.292,61960,0.01038062283737018,-0.2250059412875708,0.28657142857142853,81332.85714285714
